Brand,Rating,Number of Reviews,Reviews,Rear Camera,Front Camera
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.3,157763,12636,50MP + 8MP + 2MP , 8MP
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
SAMSUNG,4.3,157763,12636,50MP + 8MP + 2MP , 8MP
SAMSUNG,4.3,157763,12636,50MP,
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
SAMSUNG,4.3,157763,12636,50MP + 8MP + 2MP , 8MP
SAMSUNG,4.5,2792,111,13MP + 2MP , 5MP
SAMSUNG,4.5,2792,111,13MP + 2MP , 5MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
APPLE,4.6,186979,12739,12MP + 12MP , 12MP
SAMSUNG,4.2,2494,164,50MP,
SAMSUNG,4.2,36500,2893,50MP + 8MP + 2MP , 8MP
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
SAMSUNG,4.0,2729,237,8MP,
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
SAMSUNG,4.2,36500,2893,50MP + 8MP + 2MP , 8MP
SAMSUNG,4.2,7862,640,50MP,
SAMSUNG,4.4,122678,7131,50MP + 5MP + 2MP , 8MP
SAMSUNG,4.2,89,3,50MP + 2MP , 13MP
SAMSUNG,4.3,157763,12636,50MP,
SAMSUNG,4.2,36500,2893,50MP + 8MP + 2MP , 8MP
SAMSUNG,4.0,279,15,50MP,
SAMSUNG,4.4,36083,3525,12MP + 12MP + 8MP (OIS) , 32MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
SAMSUNG,4.2,89,3,50MP + 2MP , 13MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.3,1070,77,50MP,
SAMSUNG,4.1,674,43,48MP + 2MP , 5MP
SAMSUNG,4.4,36083,3525,12MP + 12MP + 8MP (OIS) , 32MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.4,36083,3525,12MP + 12MP + 8MP (OIS) , 32MP
SAMSUNG,4.2,365,27,13MP + 2MP , 5MP
SAMSUNG,4.2,65,5,50MP + 5MP , 8MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
SAMSUNG,4.3,244,21,64MP,
SAMSUNG,4.2,7862,640,50MP,
SAMSUNG,4.2,7862,640,50MP,
SAMSUNG,4.3,86,10,64MP,
APPLE,4.6,186979,12739,12MP + 12MP , 12MP
SAMSUNG,4.2,89,3,50MP + 2MP , 13MP
SAMSUNG,4.3,102798,9876,48MP + 8MP + 2MP + 2MP , 13MP
SAMSUNG,3.9,48,2,50MP + 5MP , 8MP
SAMSUNG,4.0,2729,237,8MP , 5MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
APPLE,4.6,186979,12739,12MP + 12MP , 12MP
SAMSUNG,4.2,65,5,50MP + 5MP , 8MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
SAMSUNG,4.3,244,21,64MP,
SAMSUNG,4.0,135,13,50MP + 2MP , 13MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
SAMSUNG,4.7,51,7,50MP + 10MP + 12MP , 12MP
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
SAMSUNG,4.2,2494,164,50MP,
SAMSUNG,4.4,1876,144,12MP + 12MP , 10MP
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
SAMSUNG,4.3,2150,261,64MP + 12MP + 5MP + 5MP , 32MP
APPLE,4.6,184191,10818,12MP + 12MP , 12MP
SAMSUNG,4.3,110,16,50MP + 12MP + 10MP , 10MP
SAMSUNG,4.3,244,21,64MP,
SAMSUNG,4.1,329,20,50MP + 5MP + 2MP + 2MP , 8MP
APPLE,4.7,190651,10468,12MP + 12MP , 12MP
APPLE,4.6,186979,12739,12MP + 12MP , 12MP
SAMSUNG,4.2,65,5,50MP + 5MP , 8MP
SAMSUNG,4.2,1392,184,108MP + 12MP + 5MP + 5MP , 32MP
SAMSUNG,4.0,93,11,50MP + 2MP , 13MP
SAMSUNG,4.4,14,2,13MP + 2MP , 5MP
SAMSUNG,4.2,1369,152,64MP + 12MP + 5MP + 5MP , 32MP
SAMSUNG,4.2,831,58,50MP , 8MP
SAMSUNG,4.3,2150,261,64MP + 12MP + 5MP + 5MP , 32MP
SAMSUNG,4.3,1070,77,50MP,
SAMSUNG,4.3,65488,6019,48MP + 8MP + 2MP + 2MP , 13MP
APPLE,4.7,16010,686,12MP + 12MP , 12MP
SAMSUNG,4.0,93,11,50MP + 2MP , 13MP
APPLE,4.7,756,63,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.1,10434,998,64MP + 5MP + 2MP , 8MP
SAMSUNG,4.2,1369,152,64MP + 12MP + 5MP + 5MP , 32MP
SAMSUNG,4.3,110,16,50MP + 12MP + 10MP , 10MP
SAMSUNG,4.3,478,35,50MP , 8MP
SAMSUNG,4.1,738,49,50MP + 5MP + 2MP + 2MP , 8MP
APPLE,4.7,4110,294,12MP + 12MP , 12MP
SAMSUNG,4.4,14,2,13MP + 2MP , 5MP
APPLE,4.7,756,63,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.0,2729,237,8MP , 5MP
SAMSUNG,4.3,12,0,13MP + 2MP , 5MP
SAMSUNG,4.0,93,11,50MP + 2MP , 13MP
SAMSUNG,4.0,2729,237,8MP , 5MP
APPLE,4.7,769,65,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.3,102798,9876,48MP + 8MP + 2MP + 2MP , 13MP
APPLE,4.7,756,63,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.1,738,49,50MP + 5MP + 2MP + 2MP , 8MP
SAMSUNG,4.1,738,49,50MP + 5MP + 2MP + 2MP , 8MP
SAMSUNG,3.6,55,3,108MP,
SAMSUNG,4.2,1369,152,64MP + 12MP + 5MP + 5MP , 32MP
SAMSUNG,4.2,365,27,13MP + 2MP,
SAMSUNG,4.2,10653,859,13MP + 5MP + 2MP , 8MP
SAMSUNG,4.0,2729,237,8MP,
SAMSUNG,4.3,244,21,64MP,
SAMSUNG,4.2,26,2,50MP + 50MP + 2MP + 2MP , 5MP
APPLE,4.7,769,65,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.3,110,16,50MP + 12MP + 10MP , 10MP
APPLE,4.7,769,65,48MP + 12MP + 12MP + 12MP , 12MP
SAMSUNG,4.3,65488,6019,48MP + 8MP + 2MP + 2MP , 13MP
SAMSUNG,4.1,674,43,48MP + 2MP , 5MP
SAMSUNG,4.2,827,91,48MP + 8MP + 5MP + 2MP , 13MP
